Recording,MedianRelativeApertureLeft,MedianRelativeApertureRight,MedianRelativeApertureMean,MedianSquintLeft,MedianSquintRight,MedianSquintMean,PercentTimeSquintLeft,PercentTimeSquintRight,PercentTimeBlinking,NSamplesUsed
Dark,0.862660571101293,0.803328495055039,0.838738336286944,0.137339428898707,0.196671504944961,0.161261663713056,12.061293984109,34.5380249716232,7.97502059726086,44050
Read,0.7559421534937,0.764228595126261,0.773861712008171,0.2440578465063,0.235771404873739,0.226138287991829,46.8775230807035,47.0109172605048,5.34125089150051,28487
Chat,0.734157666503027,0.671784423148006,0.711661000969345,0.265842333496973,0.328215576851994,0.288338999030655,56.7694204685573,76.4680093163447,6.47601775660459,36495
Walk Indoor,0.801531050564556,0.753157652743845,0.790045623248233,0.198468949435444,0.246842347256155,0.209954376751767,31.3765965681848,48.5582505483163,7.79540481400438,31004
Walk Outdoor,0.378722794959908,0.232895484173421,0.307096060007421,0.621277205040092,0.767104515826579,0.692903939992579,98.1079907684574,99.888033270114,4.38939918686945,43763
Walk Biopond,0.732981508754705,0.681557144273852,0.716439262500819,0.267018491245295,0.318442855726148,0.283560737499181,55.3701546712897,68.6567164179104,6.26672071341711,36917
Sit Biopond,0.802313451153657,0.697316107860549,0.751877688240043,0.197686548846343,0.302683892139451,0.248122311759957,34.0926679901746,77.7650661193176,5.53168635875403,29719
