Recording,CenterTime_s,StartTime_s,EndTime_s,MedianLeftHorizAngleDeg,MedianRightHorizAngleDeg,MedianSignedHorizDiffDeg,MedianAbsHorizDiffDeg,MedianSignedVerticalDiffDeg,MedianAbsVerticalDiffDeg,Median3DAngleBetweenEyesDeg,SDSignedHorizDiffDeg,SD3DAngleBetweenEyesDeg,NSamples
Dark,33.589,33.489,33.689,-1.48304890451316,0.0298369163280248,-1.42703619456019,1.42703619456019,0.49761680787171,0.49761680787171,1.44869527503534,0.408338909569224,0.369790277254921,40
Read,22.07,21.97,22.17,0.530722857755059,1.31399184011871,-0.894875635262476,0.894875635262476,0.395937289569488,0.395937289569488,0.945987364637471,0.467854800274119,0.385427908684129,40
Chat,37.748,37.648,37.848,-18.2699153649142,-18.4920711624914,0.170220881755403,0.448781054899085,1.11517021249076,1.11517021249076,1.12655535445151,0.585114720035179,0.181099203269449,40
Walk Indoor,11.595,11.495,11.695,-13.2612145515138,-13.205414581827,0.0548362136788443,0.335554372738092,0.805275287161594,0.805275287161594,0.9453702543348,0.766859403439948,0.335545089683352,40
Walk Outdoor,16.782,16.682,16.882,-11.7230566274817,-13.6819652858819,2.15535629556056,2.15535629556056,0.799158659614913,0.799158659614913,2.20506929039758,1.18009339880836,1.0203172499756,40
Walk Biopond,39.024,38.924,39.124,-15.8362859921291,-17.1501714569786,1.31472245694622,1.31472245694622,1.13647984515955,1.13647984515955,1.66220277315902,1.01678896751359,0.734966924530045,34
Sit Biopond,9.572,9.472,9.672,-11.7521772778694,-13.1645920236825,1.38336352287267,1.38336352287267,0.873791307532082,0.873791307532082,1.60714582808879,0.182168198139581,0.154452277639331,40
